reg_epochs,ptb_epochs,surrogate_epochs,randomized,ptb_rate,protected_size,retrain,base_g0,lock_g0,change_g0,base_g_g0,lock_g_g0,change_g_g0,g0g0_add,g0g0_remove,g0gX_add,g0gX_remove,gXgX_add,gXgX_remove,total,trivial_g0g0,trivial_g0gX
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.5359116196632385,-0.2513812184333801,0.790281355381012,0.7212276458740234,-0.06905370950698853,58,0,428,6,823,0,1315,,
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.5165745615959167,-0.2707182765007019,0.790281355381012,0.7382779121398926,-0.052003443241119385,82,1,609,2,607,2,1303,,
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.5773480534553528,-0.20994478464126587,0.790281355381012,0.7344415783882141,-0.05583977699279785,38,0,328,0,516,0,882,,
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.3729281723499298,-0.41436466574668884,0.790281355381012,0.6909633278846741,-0.09931802749633789,101,0,777,4,423,0,1305,,
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.4005524814128876,-0.3867403566837311,0.790281355381012,0.7233589291572571,-0.06692242622375488,115,1,856,8,295,10,1285,,
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.37569060921669006,-0.4116022288799286,0.790281355381012,0.6960784196853638,-0.0942029356956482,107,0,902,6,331,0,1346,,
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.37569060921669006,-0.4116022288799286,0.790281355381012,0.695652186870575,-0.09462916851043701,100,0,781,4,409,0,1294,,
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.42817679047584534,-0.3591160476207733,0.790281355381012,0.7642796039581299,-0.02600175142288208,145,0,920,5,262,1,1333,,
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.46408841013908386,-0.3232044279575348,0.790281355381012,0.7804774045944214,-0.009803950786590576,129,0,804,2,393,1,1329,,
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.3867403268814087,-0.40055251121520996,0.790281355381012,0.7442455291748047,-0.046035826206207275,173,1,1017,20,112,0,1323,,
50,20,50,N,0.5,0.14,Y,0.8833333253860474,0.5277777910232544,-0.35555553436279297,0.7832278609275818,0.7709652185440063,-0.01226264238357544,127,29,350,7,776,3,1292,,
50,20,50,Y,0.5,0.14,N,0.7872928380966187,0.3729281723499298,-0.41436466574668884,0.790281355381012,0.7595908045768738,-0.030690550804138184,171,1,1023,18,131,0,1344,,
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.3867403268814087,-0.40055251121520996,0.790281355381012,0.7442455291748047,-0.046035826206207275,173,1,1017,20,112,0,1323,,
50,20,50,Y,0.5,0.14,Y,0.7872928380966187,0.38397789001464844,-0.4033149480819702,0.790281355381012,0.7323102951049805,-0.057971060276031494,103,1,824,22,361,15,1326,,
50,40,50,Y,0.5,0.14,Y,0.7872928380966187,0.3674033284187317,-0.41988950967788696,0.790281355381012,0.7352941036224365,-0.05498725175857544,150,2,999,49,139,5,1344,,
50,40,50,Y,0.5,0.14,Y,0.7872928380966187,0.41988950967788696,-0.3674033284187317,0.790281355381012,0.7851662635803223,-0.005115091800689697,142,1,989,5,190,0,1327,,
50,40,50,Y,0.5,0.14,Y,0.7872928380966187,0.42817679047584534,-0.3591160476207733,0.790281355381012,0.789002537727356,-0.0012788176536560059,159,1,1019,11,120,0,1310,,
50,40,50,Y,0.5,0.14,Y,0.7872928380966187,0.42817679047584534,-0.3591160476207733,0.790281355381012,0.789002537727356,-0.0012788176536560059,159,1,1019,11,120,0,1310,,
50,40,50,Y,0.5,0.14,Y,0.7872928380966187,0.7513812184333801,-0.035911619663238525,0.790281355381012,0.801364004611969,0.011082649230957031,5,0,47,0,0,0,52,,
50,40,50,Y,0.5,0.14,Y,0.7872928380966187,0.6436464190483093,-0.14364641904830933,0.790281355381012,0.8022165298461914,0.011935174465179443,32,0,221,4,7,0,264,,
50,40,50,Y,0.5,0.14,Y,0.7872928380966187,0.6298342347145081,-0.1574586033821106,0.790281355381012,0.7983801960945129,0.008098840713500977,29,0,231,2,10,0,272,,
50,40,50,Y,0.5,0.14,Y,0.7872928380966187,0.6878452897071838,-0.09944754838943481,0.790281355381012,0.8005114793777466,0.01023012399673462,15,0,114,0,2,0,131,,
50,40,50,Y,0.5,0.14,Y,0.7872928380966187,0.6933701634407043,-0.0939226746559143,0.790281355381012,0.8000852465629578,0.0098038911819458,10,0,110,0,17,0,137,,
50,40,50,Y,0.5,0.14,Y,0.7872928380966187,0.6298342347145081,-0.1574586033821106,0.790281355381012,0.7983801960945129,0.008098840713500977,29,0,231,2,10,0,272,,
50,40,50,Y,0.5,0.14,Y,0.7872928380966187,0.6353591084480286,-0.1519337296485901,0.790281355381012,0.8081841468811035,0.017902791500091553,19,0,228,1,0,0,248,,
50,40,50,Y,0.5,0.14,N,0.7872928380966187,0.6049723625183105,-0.1823204755783081,0.790281355381012,0.7809036374092102,-0.009377717971801758,22,0,259,0,1,0,282,,
50,40,50,Y,0.5,0.14,N,0.7872928380966187,0.6298342347145081,-0.1574586033821106,0.790281355381012,0.782608687877655,-0.007672667503356934,19,0,259,0,1,0,279,,
50,40,50,Y,0.5,0.14,N,0.7872928380966187,0.6325966715812683,-0.15469616651535034,0.790281355381012,0.7787723541259766,-0.0115090012550354,30,0,228,0,3,0,261,,
50,40,50,Y,0.5,0.14,N,0.7872928380966187,0.6022099256515503,-0.18508291244506836,0.790281355381012,0.7804774045944214,-0.009803950786590576,33,0,201,0,38,0,272,,
50,40,50,Y,0.5,0.14,N,0.7872928380966187,0.5165745615959167,-0.2707182765007019,0.790281355381012,0.7809036374092102,-0.009377717971801758,62,0,391,1,83,0,537,,
50,40,50,Y,0.5,0.14,N,0.7872928380966187,0.530386745929718,-0.25690609216690063,0.790281355381012,0.7851662635803223,-0.005115091800689697,61,0,428,4,50,0,543,,
50,40,50,Y,0.5,0.14,N,0.7872928380966187,0.5276243090629578,-0.2596685290336609,0.790281355381012,0.7779198884963989,-0.012361466884613037,67,0,440,4,37,0,548,,
